t,SOC_HE,SOC_HP,SOC_HE_aged,SOC_HP_aged
2460,0.6342556415605438,0.7661379526093413,0.5707993156574389,0.7652439024390242
2490,0.6316795453692132,0.7661379526093413,0.56760808091553,0.7652439024390242
2520,0.6288172162677349,0.7661379526093413,0.5640622645356312,0.7652439024390242
2550,0.6253824213459609,0.7661379526093413,0.5598072848797527,0.7652439024390242
2580,0.621661393514039,0.7661379526093413,0.5551977235858844,0.7652439024390242
2610,0.6187990644125607,0.7661379526093413,0.5516519072059856,0.7652439024390242
2640,0.6145055707603432,0.7661379526093413,0.5463331826361374,0.7652439024390242
2670,0.6102120771081256,0.7661379526093413,0.5410144580662892,0.7652439024390242
2700,0.6079222138269429,0.7661379526093413,0.5381778049623702,0.7652439024390242
2730,0.605918583455908,0.7661379526093413,0.5356957334964411,0.7652439024390242
2760,0.6042011859950209,0.7661379526093413,0.5335682436685018,0.7652439024390242
2790,0.6024837885341339,0.7661379526093413,0.5314407538405624,0.7652439024390242
2820,0.6007663910732468,0.7661379526093413,0.5293132640126231,0.7652439024390242
2850,0.5990489936123597,0.7661379526093413,0.5271857741846838,0.7652439024390242
2880,0.5973315961514727,0.7661379526093413,0.5250582843567445,0.7652439024390242
2910,0.5956141986905856,0.7661379526093413,0.5229307945288052,0.7652439024390242
2940,0.5938968012296986,0.7661379526093413,0.5208033047008659,0.7652439024390242
2970,0.5921794037688115,0.7661379526093413,0.5186758148729266,0.7652439024390242
3000,0.5904620063079244,0.7661379526093413,0.5165483250449873,0.7652439024390242
3030,0.5887446088470374,0.7661379526093413,0.514420835217048,0.7652439024390242
3060,0.5870272113861503,0.7661379526093413,0.5122933453891086,0.7652439024390242
3090,0.5853098139252633,0.7661379526093413,0.5101658555611693,0.7652439024390242
3120,0.5830199506440805,0.7661379526093413,0.5073292024572503,0.7652439024390242
3150,0.5807300873628978,0.7661379526093413,0.5044925493533313,0.7652439024390242
3180,0.578440224081715,0.7661379526093413,0.5016558962494123,0.7652439024390242
